HexCode,IntCode,Name,Message
0x8004D207,-2147167737,"InvitationIsExpired","{0} -- Invitation is expired -- Token={1} Puid={2} Id={3} Status={4}"
0x8004D209,-2147167735,"InvitationIsRejected","{0} -- Invitation has already been rejected by the new user-- Token={1} Puid={2} Id={3} Status={4}"
0x8004D20A,-2147167734,"InvitationIsRevoked","{0} -- Invitation has been revoked by the organization -- Token={1} Puid={2} Id={3} Status={4}"
0x8004D204,-2147167740,"InvitationNotFound","{0} -- Invitation not found or status is not Open -- Token={1} Puid={2} Id={3} Status={4}"
0x8004D217,-2147167721,"InvitationOrganizationNotEnabled","The organization for the invitation is not enabled."
0x8004D20F,-2147167729,"InvitationSendToSelf","The invitation cannot be sent to yourself."
0x8004D20C,-2147167732,"InvitationStatusError","""The invitation has status {0}."""
0x8004D206,-2147167738,"InvitationWrongUserOrgRelation","{0} -- The pre-created userorg relation {1} is wrong.  Authentication {2} is already used by another user"
0x8004D205,-2147167739,"InvitedUserAlreadyAdded","{0} -- The crm user {1} is already added, but to organization {2} instead of the inviting organization {3}"
0x8004D202,-2147167742,"InvitedUserAlreadyExists","{0} -- Invited user is already in an organization -- {1}"
0x8004D203,-2147167741,"InvitedUserIsOrganization","{0} -- The user {1} has authentication {2} and is already related to organization {3} with relation id {4}"
0x8004D20B,-2147167733,"InvitedUserMultipleTimes","The Dynamics 365 user {0} has been invited multiple times."
0x8004D200,-2147167744,"InvitingOrganizationNotFound","{0} -- Inviting organization not found -- {1}"
0x8004D201,-2147167743,"InvitingUserNotInOrganization","{0} -- Inviting user is not in the inviting organization -- {1}"
0x80095FFE,-2146869250,"IPAddressNotInSpecifiedRange","Sorry, you can't access this resource because your IP address is blocked. Please contact your Power Platform environment administrator for more information. You can close the tab now."
0x80044158,-2147204776,"IsKitCannotBeNull","Attribute iskit cannot be null"
0x8004B009,-2147176439,"IsNotLiveToSendInvitation","This functionality is not supported, its only available for Online solution."
0x80040265,-2147220891,"IsvAborted","ISV code aborted the operation."
0x80048d0f,-2147185393,"IsvAbortedBadGateway","ISV code aborted the operation."
0x80048d0b,-2147185397,"IsvAbortedBadRequest","ISV code aborted the operation."
0x80048d08,-2147185400,"IsvAbortedConflict","ISV code aborted the operation."
0x80048d0e,-2147185394,"IsvAbortedFailedDependency","ISV code aborted the operation."
0x80048d06,-2147185402,"IsvAbortedForbidden","ISV code aborted the operation."
0x80048d10,-2147185392,"IsvAbortedGatewayTimeout","ISV code aborted the operation."
0x80048d0d,-2147185395,"IsvAbortedGone","ISV code aborted the operation."
0x80048d0a,-2147185398,"IsvAbortedInternalServerError","ISV code aborted the operation."
0x80048d0c,-2147185396,"IsvAbortedMethodNotAllowed","ISV code aborted the operation."
0x80048d02,-2147185406,"IsvAbortedNotFound","ISV code aborted the operation."
0x80048d09,-2147185399,"IsvAbortedPreconditionFailed","ISV code aborted the operation."
0x80048d11,-2147185391,"IsvAbortedRequestEntityTooLarge","ISV code aborted the operation."
0x80048d07,-2147185401,"IsvAbortedRequestTimeout","ISV code aborted the operation."
0x80048d03,-2147185405,"IsvAbortedServiceUnavailable","ISV code aborted the operation."
0x80048d04,-2147185404,"IsvAbortedTooManyRequests","ISV code aborted the operation."
0x80048d05,-2147185403,"IsvAbortedUnauthorized","ISV code aborted the operation."
0x80048029,-2147188695,"IsvExtensionsPrivilegeNotPresent","To import ISV.Config, your user account must be associated with a security role that includes the ISV Extensions privilege."
0x8009000C,-2146893812,"IsvTransactionCount","ISV code reduced the open transaction count. Custom plug-ins should not catch exceptions from OrganizationService calls and continue processing."
0x80040224,-2147220956,"IsvUnExpected","An unexpected error occurred from ISV code."
0x80048457,-2147187625,"JobNameIsEmptyOrNull","Job Name can not be null or empty."
0x80048d13,-2147185389,"JsonStringFormatOnlyForNonRelational","String with Json format can be used only on NonRelational entities."
0x80060861,-2147088287,"KBInvalidCreateAssociation","This KB article is already linked to the {0}."
0x80090109,-2146893559,"KeyAlreadyExists","The Key = '{0}' already exists in the dictionary. Cannot add duplicate key."
0x8004F078,-2147159944,"KeyVaultCrossTenantValidationMismatchedTenants","Tenant validation failure. You are only allowed to read secrets from a key vault in the same tenant of the organization."
